REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2030,7.105343888902719
REGION1,DKBMCSPN2,2031,0.2655862704301324
REGION1,DKBMCSPN2,2032,0.3904717440915052
REGION1,DKBMCSPN2,2033,0.5476455649351684
REGION1,DKBMCSPN2,2034,0.743766555327177
REGION1,DKBMCSPN2,2035,0.9878470382670096
REGION1,DKBMCSPN2,2036,1.2920179898891897
REGION1,DKBMCSPN2,2037,1.6727163505347034
REGION1,DKBMCSPN2,2038,2.187690934091124
REGION1,DKBMCSPN2,2039,3.657764331450808
REGION1,DKBMCSPN2,2040,5.287086562194365
REGION1,DKBMCSPN2,2041,6.249146566307156
REGION1,DKBMCSPN2,2042,7.33286723456396
REGION1,DKBMCSPN2,2043,8.547501335709144
REGION1,DKBMCSPN2,2044,9.90243893228974
REGION1,DKBMCSPN2,2045,11.407213185713715
REGION1,DKBMCSPN2,2046,13.071542105755729
REGION1,DKBMCSPN2,2047,14.90542589774449
REGION1,DKBMCSPN2,2048,16.919330495506554
REGION1,DKBMCSPN2,2049,19.12450675370233
REGION1,DKBMCSPN2,2050,21.5335287570168
REGION1,DKBMCSPN2,2051,24.432186361554933
REGION1,DKBMCSPN2,2052,27.208012663578003
REGION1,DKBMCSPN2,2053,30.45636976711724
REGION1,DKBMCSPN2,2054,34.35776736167343
REGION1,DKBMCSPN2,2055,39.19013362289456
REGION1,DKBMCSPN2,2056,44.29500824082815
REGION1,DKBMCSPN2,2057,51.257317961150726
REGION1,DKBMCSPN2,2058,61.562271991046714
REGION1,DKBMCSPN2,2059,78.96398257448978
REGION1,DKBMCSPN2,2060,117.18926017649416
REGION1,DKBMSTPH3,2044,0.38377889856206754
REGION1,DKGOCVPH2,2022,0.6296126202531352
REGION1,DKGOCVPH2,2023,0.08442606324355417
REGION1,DKGOCVPH2,2024,0.12347239625729836
REGION1,DKGOCVPH2,2025,0.1605415960860325
REGION1,DKGOCVPH2,2026,1.9634130387189888
REGION1,DKGOCVPH2,2027,2.2985131646111303
REGION1,DKGOCVPH2,2028,2.616496887344933
REGION1,DKGOCVPH2,2029,2.9182021919895704
REGION1,DKGOCVPH2,2030,3.204443203815036
REGION1,DKGOCVPH2,2031,2.691502698148255
REGION1,DKGOCVPH2,2032,2.8982088462967988
REGION1,DKGOCVPH2,2033,3.09558973577434
REGION1,DKGOCVPH2,2034,1.887476280640768
REGION1,DKHFCHPH3,2037,0.05382909281416241
REGION1,DKHFCHPH3,2038,0.133696985088745
REGION1,DKHFCHPH3,2043,3.676123074241574
REGION1,DKHFCHPH3,2044,6.487879158007379
REGION1,DKHFCHPH3,2047,20.3028215714723
REGION1,DKHFCHPH3,2048,114.6974405594142
REGION1,DKHFCHPH3,2049,81.22896235606046
REGION1,DKHFCHPH3,2050,5.704141613662146
REGION1,DKHFCHPH3,2051,5.922360652904278
REGION1,DKHFCHPH3,2052,20.24781818756413
REGION1,DKHFCHPH3,2053,6.9872770930420325
