REGION,TECHNOLOGY,YEAR,VALUE
REGION1,DKBMCSPN2,2028,-0.5465171266982272
REGION1,DKBMCSPN2,2029,-3.537932282644088
REGION1,DKBMCSPN2,2030,-36.487181159042464
REGION1,DKBMCSPN2,2031,-40.07580261101176
REGION1,DKBMCSPN2,2032,-43.775247079901895
REGION1,DKBMCSPN2,2033,-47.6708027078695
REGION1,DKBMCSPN2,2034,-51.8557317416542
REGION1,DKBMCSPN2,2035,-56.43518036738436
REGION1,DKBMCSPN2,2036,-61.530722054876605
REGION1,DKBMCSPN2,2037,-67.28940463231395
REGION1,DKBMCSPN2,2038,-74.81727730786997
REGION1,DKBMCSPN2,2039,-102.16142534102104
REGION1,DKBMCSPN2,2040,-126.42085572088072
REGION1,DKBMCSPN2,2041,-133.0661791343576
REGION1,DKBMCSPN2,2042,-139.4321664597184
REGION1,DKBMCSPN2,2043,-145.43474938748426
REGION1,DKBMCSPN2,2044,-150.98706577674147
REGION1,DKBMCSPN2,2045,-156.00036583621537
REGION1,DKBMCSPN2,2046,-154.45635972900948
REGION1,DKBMCSPN2,2047,-142.5245650712049
REGION1,DKBMCSPN2,2048,-131.14322214398388
REGION1,DKBMCSPN2,2049,-120.291240528957
REGION1,DKBMCSPN2,2050,-109.95038314085257
REGION1,DKBMCSPN2,2051,-106.48686779786838
REGION1,DKBMCSPN2,2052,-102.99110748105272
REGION1,DKBMCSPN2,2053,-99.5010371615121
REGION1,DKBMCSPN2,2054,-96.04612935387196
REGION1,DKBMCSPN2,2055,-92.64558336150169
REGION1,DKBMCSPN2,2056,-88.87379454971662
REGION1,DKBMCSPN2,2057,-85.21721232845097
REGION1,DKBMCSPN2,2058,-81.68223259731
REGION1,DKBMCSPN2,2059,-78.27090189031058
REGION1,DKBMCSPN2,2060,-74.98504540139724
REGION1,FIBMCSPN2,2030,-1.3168394704013795
REGION1,FIBMCSPN2,2031,-1.446354500671436
REGION1,FIBMCSPN2,2032,-140.3679699568301
REGION1,FIBMCSPN2,2033,-152.8593040286546
REGION1,FIBMCSPN2,2034,-166.27853137906874
REGION1,FIBMCSPN2,2035,-180.96280959552408
REGION1,FIBMCSPN2,2036,-197.3019713413881
REGION1,FIBMCSPN2,2037,-215.76753434655424
REGION1,FIBMCSPN2,2038,-239.90611210563736
REGION1,FIBMCSPN2,2039,-327.5867719681988
REGION1,FIBMCSPN2,2040,-405.37609862841055
REGION1,FIBMCSPN2,2041,-426.6847289498738
REGION1,FIBMCSPN2,2042,-447.0976512573321
REGION1,FIBMCSPN2,2043,-466.34529544606846
REGION1,FIBMCSPN2,2044,-484.1491328223733
REGION1,FIBMCSPN2,2045,-500.22458182779513
REGION1,FIBMCSPN2,2046,-514.2841500470413
REGION1,FIBMCSPN2,2047,-526.0407756462147
REGION1,FIBMCSPN2,2048,-483.13182847428834
REGION1,FIBMCSPN2,2049,-442.34467084767215
REGION1,FIBMCSPN2,2050,-403.5967506543616
REGION1,FIBMCSPN2,2051,-390.8818569793336
REGION1,FIBMCSPN2,2052,-378.05022739581455
REGION1,FIBMCSPN2,2053,-365.2407135874786
REGION1,FIBMCSPN2,2054,-352.5570077455466
REGION1,FIBMCSPN2,2055,-340.0765085108257
REGION1,FIBMCSPN2,2056,-327.85328548828875
REGION1,FIBMCSPN2,2057,-315.9287198119156
REGION1,FIBMCSPN2,2058,-304.3294870511984
REGION1,FIBMCSPN2,2059,-293.0716564895578
REGION1,FIBMCSPN2,2060,-282.16499660493935
REGION1,FICO00X00,2028,7.717004282888742
REGION1,FICO00X00,2029,14.663361308612767
REGION1,NOBMCSPN2,2033,-50.23367642177236
REGION1,NOBMCSPN2,2034,-54.64359526076248
REGION1,NOBMCSPN2,2035,-59.46924382105168
REGION1,NOBMCSPN2,2036,-64.83873159518734
REGION1,NOBMCSPN2,2037,-70.90701198441029
REGION1,NOBMCSPN2,2038,-78.83959752205125
